time,high,low,open,volumefrom,volumeto,close
1745215200,87679.4,87369.12,87536.64,340.85,29817784.61,87512.44
1745211600,87718.54,87331.74,87349.01,431.08,37709227.26,87536.64
1745208000,87375.6,87065.86,87196.17,408.56,35638815.34,87349.01
1745204400,87610.13,87163.8,87348.44,630.4,55087922.89,87196.17
1745200800,87617.7,87136.29,87273.08,1286.73,112371587.89,87348.44
1745197200,87432.8,86604.6,86604.71,1964.35,171126015.01,87273.08
1745193600,86992.0,85132.52,85167.14,2530.43,218224931.82,86604.71
1745190000,85283.39,84821.15,84821.31,752.05,64002124.34,85167.14
1745186400,85004.33,84669.3,84994.66,266.24,22581875.84,84821.31
1745182800,85198.73,84908.63,85099.31,287.49,24447063.9,84994.66
1745179200,85224.9,84599.69,84631.01,750.16,63793552.33,85099.31
1745175600,84646.42,84511.96,84563.94,102.08,8632037.53,84631.01
1745172000,84621.6,84460.04,84571.68,146.35,12369901.69,84563.94
1745168400,84607.3,84444.75,84597.15,122.14,10321776.21,84571.68
1745164800,84606.68,84273.12,84343.11,208.97,17657443.08,84597.15
1745161200,84620.61,84304.18,84620.52,234.52,19804288.87,84343.11
1745157600,84648.08,84254.88,84314.03,309.98,26198302.19,84620.52
1745154000,84442.9,84153.46,84358.22,238.37,20094283.48,84314.03
1745150400,84472.11,84098.32,84117.99,249.97,21075522.58,84358.22
1745146800,84231.71,83954.54,84161.22,254.8,21420913.31,84117.99
1745143200,84535.7,83986.23,84535.7,346.93,29230172.67,84161.22
1745139600,84631.97,84446.22,84629.26,172.12,14549450.74,84535.7
1745136000,84777.53,84610.68,84774.07,113.37,9599844.32,84629.26
1745132400,84949.95,84675.83,84949.37,205.66,17436312.51,84774.07
1745128800,85145.75,84848.63,85084.42,204.26,17359957.58,84949.37
1745125200,85183.4,85084.39,85176.3,53.35,4542596.91,85084.42
1745121600,85233.67,85102.11,85149.11,97.71,8318843.4,85176.3
1745118000,85245.85,85107.95,85220.09,93.38,7952305.96,85149.11
1745114400,85302.3,85195.64,85298.36,108.28,9230732.78,85220.09
1745110800,85298.55,85128.18,85144.29,166.47,14191148.03,85298.36
1745107200,85205.11,85038.05,85061.54,209.8,17861257.69,85144.29
1745103600,85241.96,85056.87,85239.99,142.53,12132483.35,85061.54
1745100000,85339.17,85205.34,85327.21,124.57,10619808.23,85239.99
